Plot	Rep	treatment_mg_ha	depth	cylinder	GWCs	VWCs	GWC1kpa	VWC1kpa	GWC2kpa	VWC2kpa	GWC3kpa	VWC3kpa	GWC4kpa	VWC4kpa	GWC5kpa	VWC5kpa	GWC6kpa	VWC6kpa	GWC10kpa	VWC10kpa	GWC30kpa	VWC30kpa	GWC100kpa	VWC100kpa	GWC300kpa	VWC300kpa	GWC500kpa	VWC500kpa	GWC1500kpa	VWC1500kpa	FC	AWC	POC	MOC	DOC	TOC	bulk_density	TC_carb_corr	Cstock	pH	EC
10	2	10	b	1	0.216	0.356	0.208104092	0.342548638	0.202666445	0.333598027	0.201241281	0.331252144	0.20120949	0.331199813	0.200867904	0.330637547	0.200325897	0.329745381	0.198209352	0.326261452	0.190134857	0.312970474	0.181349009	0.298508575	0.177239486	0.291744117	0.175009537	0.288073519	0.12409201	0.204260994	0.312970474	0.108709479	0.4036	1.167761902	0.052576	1.6240	1.6079	1.401	22.529	7.93	411
11	3	10	a	5	0.241	0.376	0.231266847	0.360868507	0.227448127	0.354909781	0.224617074	0.35049221	0.222912789	0.347832846	0.221339281	0.345377544	0.220856488	0.344624195	0.217255558	0.339005309	0.210951254	0.329168079	0.204664178	0.319357735	0.202274715	0.31562922	0.189686061	0.295985898	0.121880998	0.181723368	0.329168079	0.147444711	0.6484	1.198308897	0.050104	1.8968	1.5808	1.825	28.850	7.86	467
11	3	10	b	26	0.270	0.407	0.256974526	0.387585639	0.251601082	0.379481061	0.248842149	0.375319861	0.245694826	0.370572864	0.243718314	0.367591759	0.242065899	0.36509948	0.239546283	0.361299232	0.227683785	0.343407444	0.216675315	0.326803756	0.208526592	0.314513323	0.208526592	0.314513323	0.151738672	0.212517897	0.343407444	0.130889547	0.5446	1.25166041	0.05192	1.8482	1.5574	1.764	27.466	7.84	416
12	3	0	a	18	0.283	0.415	0.264688953	0.388375744	0.26115981	0.383197464	0.254832444	0.373913376	0.2527054	0.370792383	0.250963394	0.368236354	0.250065754	0.366919254	0.24682357	0.362162027	0.234971196	0.344771145	0.223716324	0.32825697	0.215470962	0.316158625	0.213419999	0.313149265	0.140568475	0.208829786	0.344771145	0.135941359	0.6896	1.242939991	0.050512	1.9831	1.3966	1.722	24.049	7.85	466
12	3	0	b	2	0.271	0.419	0.259855731	0.402667883	0.257529303	0.399062891	0.253925815	0.393478989	0.250255856	0.387792085	0.245051431	0.379727399	0.245152537	0.379884071	0.24020992	0.372225079	0.235478945	0.364894042	0.223725916	0.346681755	0.219631036	0.3403364	0.218595302	0.338731445	0.125125125	0.193891699	0.364894042	0.171002343	0.5953	1.16372715	0.051144	1.8101	1.5206	1.708	25.977	7.78	345
13	3	15	a	25	0.322	0.451	0.304681121	0.426721745	0.298442156	0.41798375	0.292881445	0.410195686	0.288249997	0.403709103	0.281808108	0.394686902	0.281977843	0.394924624	0.27550273	0.385855892	0.267190262	0.374213848	0.250965022	0.351489557	0.238562525	0.334119215	0.22557588	0.315930744	0.148012552	0.223242126	0.374213848	0.150971722	0.5472	1.273691616	0.052456	1.8734	1.4006	1.719	24.069	7.52	300
13	3	15	b	10	0.299	0.465	0.294475655	0.457078602	0.291615271	0.452638779	0.288754697	0.448198658	0.286552456	0.444780388	0.285218988	0.442710609	0.284936393	0.442271971	0.279185638	0.433345776	0.266880654	0.414246252	0.2542442	0.394632227	0.2542442	0.394632227	0.243739146	0.378326515	0.122171946	0.189632594	0.414246252	0.224613658	0.4688	1.322008798	0.060496	1.8513	1.5083	1.649	24.877	7.23	341
14	3	20	a	13	0.291	0.417	0.272005927	0.389967961	0.263078695	0.377169216	0.257197465	0.368737447	0.252848025	0.362501766	0.250225587	0.358742043	0.249040426	0.357042908	0.241403487	0.346094023	0.229430542	0.328928718	0.218447387	0.313182448	0.21183427	0.303701391	0.194017517	0.278157967	0.144450076	0.207094391	0.328928718	0.121834327	0.5218	1.241812978	0.051744	1.8153	1.5088	1.965	29.650	6.84	380
14	3	20	b	11	0.284	0.413	0.266477051	0.387480926	0.258465777	0.375831833	0.253874283	0.369155399	0.250202887	0.363816869	0.24813817	0.36081459	0.247454889	0.359821039	0.243099804	0.353488365	0.233601975	0.339677692	0.224170588	0.325963631	0.224170588	0.325963631	0.208673181	0.303429046	0.121432278	0.180473291	0.339677692	0.159204401	0.3945	1.204049363	0.053304	1.6518	1.4957	1.641	24.546	6.94	274
15	3	5	a	8	0.255	0.382	0.24004377	0.359897148	0.233460248	0.350026487	0.229518705	0.344116939	0.226490057	0.339576093	0.224462568	0.336536283	0.223679364	0.335362027	0.220070198	0.329950811	0.212825178	0.319088367	0.204655247	0.306839205	0.201571076	0.302215115	0.189051109	0.283443952	0.130395275	0.18751969	0.319088367	0.131568677	0.7345	1.471048799	0.06896	2.2745	1.4676	2.343	34.390	6.87	389
